entity_id,most_common_country,most_common_auth,most_common_protocol,most_common_resource,most_common_device,avg_session_duration,std_session_duration,avg_login_hour
U032,India,Password,SSH,Email,d81cd059-387f-4dec-8b89-414f04e490cc,907.03,292.76,13.5
U033,Singapore,Token,HTTP,SourceCode,284d0cbf-ab2b-4bae-bfaf-f9bbe900e08e,918.92,307.68,14.522222222222222
U034,India,Token,HTTP,Database,386db2b9-2ba5-49b4-b1bc-c284b4530281,870.74,292.08,13.422680412371134
U035,Japan,Token,FTP,Database,79534d14-a6f3-438c-b239-8430af3ed30a,932.78,294.69,14.528301886792454
U036,Singapore,Password,FTP,Payroll,a93330c8-636c-42dd-99f5-4efcd158ac0a,868.34,287.72,11.954128440366972
U037,Japan,Certificate,SSH,Payroll,d222cb6d-cf38-48dd-9dda-8298c039b2ea,875.16,283.4,14.787878787878787
U038,India,Certificate,FTP,Payroll,c560093d-7bb4-4a48-8104-6936558022ce,885.92,288.39,13.23
U039,Singapore,Password,HTTPS,Database,90b53820-5823-4c2c-93bb-9b22a962e9f2,926.85,292.39,13.956043956043956
U040,India,Biometric,HTTPS,Email,27da782e-9e58-47b1-a4a2-dd62267999cd,876.03,294.57,13.177777777777777
U041,Singapore,Token,HTTP,HR,e37b1152-5562-48be-a791-de21ed513750,834.89,311.91,13.722689075630251
U042,USA,Token,SSH,Finance,e0fbe6dc-4b8d-4fdf-8fbf-d7bcf2fa650e,907.84,314.19,11.716814159292035
U043,Japan,Biometric,FTP,CRM,45066ccd-341f-4d48-a5d0-c3f699987879,921.09,266.91,12.96078431372549
U044,India,Biometric,FTP,Finance,e15ff211-3bd8-434d-a768-03c28bd2b13d,852.7,318.38,13.638095238095238
U045,USA,Password,HTTP,Finance,f0bf81a9-9141-4e91-9264-e2bc6a952d5c,920.54,253.35,12.283950617283951
U046,Japan,Biometric,HTTP,SourceCode,3283a4bf-436f-4777-855b-2fec9fde0329,919.08,297.76,13.30841121495327
U047,India,Certificate,HTTP,Finance,c75633c9-2e37-4941-93b3-bbb6fc346d3d,908.73,309.12,14.245098039215685
U048,Singapore,Password,FTP,Database,6a62f2fc-f8ea-4753-b3c3-4dcd90e3ed3b,912.03,297.42,13.382022471910112
U049,USA,Token,HTTPS,Finance,490dc681-7e08-40cf-a5a5-d19897376619,895.16,359.76,13.231707317073171
U050,Singapore,Biometric,FTP,CloudServer,38875f3f-93cd-403a-85c6-ac64362035e5,882.98,325.93,12.789473684210526
U051,Japan,Certificate,HTTP,SourceCode,59c9eb0d-06e3-41a2-9494-408b54bab2a4,853.16,293.52,11.766990291262136
U052,USA,Biometric,HTTP,Email,e0a3589b-01a8-4e42-899b-fea94dcfd600,909.24,290.34,12.344827586206897
U053,Japan,Biometric,SSH,Email,809b5c08-3a77-437e-b482-f5ad383b1325,931.64,265.77,13.904761904761905
U054,Singapore,Biometric,HTTP,Finance,04da413d-3da3-4b6f-ab1e-c5873a9051ab,894.52,292.9,12.01
U055,Japan,Certificate,FTP,Database,73aa3701-60b3-4596-a599-b47cae72a548,886.14,313.06,12.555555555555555
U056,Japan,Certificate,FTP,Email,c94abb00-da42-4186-95ac-f982a114914d,837.3,294.5,13.0
U057,USA,Token,HTTPS,Payroll,01530b8f-d88c-4381-89d0-94560422b0ee,903.73,312.54,14.597826086956522
U058,Japan,Password,HTTP,CloudServer,bee5530b-bb50-40b9-8da8-5723f96f0cd4,899.45,261.96,12.730337078651685
U059,Singapore,Biometric,HTTP,Finance,71284f82-be20-4e30-889f-a9c71ef6dacb,938.46,279.69,13.908163265306122
U060,Singapore,Token,FTP,CloudServer,6ed40bb1-2c8a-42a8-9acc-1b81daa9bde4,893.95,300.3,14.105263157894736
U061,USA,Password,HTTPS,HR,29540709-69db-4735-9555-b0977e1e7d94,845.88,286.19,12.19047619047619
U062,Germany,Certificate,HTTPS,Email,9e5824c1-2a08-4a68-8d70-f045eb7e3a9c,933.35,265.69,13.829787234042554
U063,Japan,Password,HTTPS,HR,b54416e1-2403-413e-ae4f-d4e38c994e1e,891.47,333.53,14.413461538461538
U064,Germany,Password,FTP,CRM,5e4c7ea5-74b9-413d-a6e4-0b1253b8350e,907.35,327.85,13.384615384615385
U065,India,Password,SSH,Database,673b8919-e97a-41d9-b073-63269aeb3dfb,880.19,324.76,14.126582278481013
U066,Germany,Password,HTTP,CloudServer,85f48e86-bb7d-49ad-9871-26f74e7d97df,948.02,280.14,13.421686746987952
U067,Singapore,Certificate,SSH,CloudServer,7c200252-52c6-463a-966b-341e2b371b0b,866.34,271.05,13.75
U068,USA,Token,HTTPS,CRM,6646bd51-d3a0-494e-8017-bea4cc8397ba,899.97,313.68,14.072916666666666
U069,India,Password,HTTP,CRM,9352f2d4-fdd8-4740-b005-21dcecb3ee98,893.53,334.42,12.595959595959595
U070,India,Biometric,SSH,CRM,a3818f8a-a391-4758-a00f-6c389abe6aef,894.56,292.66,11.65625
U071,USA,Certificate,FTP,SourceCode,b2ae3e39-bd91-447a-87d3-b29bd472bcad,870.84,314.22,13.754545454545454
U072,USA,Certificate,SSH,Payroll,9ae4805a-776f-4b9a-80e8-6596b81d4357,919.13,311.3,13.950495049504951
U073,Germany,Biometric,FTP,Payroll,ee3a5f1b-f45a-4182-a9c6-02d86267b28d,879.69,297.85,11.980392156862745
U074,India,Token,HTTPS,CloudServer,49f9e44b-b8d7-46f6-be0a-d7d3e92bcef5,890.01,267.07,13.566265060240964
U075,USA,Certificate,HTTPS,HR,796fa559-596a-4c37-a958-bbf1539c6dfb,953.09,303.59,13.426829268292684
U076,USA,Certificate,FTP,Payroll,ca707be7-14bd-4873-87d9-a250a6c23eef,916.56,300.06,12.647058823529411
U077,Japan,Certificate,FTP,CRM,2863566e-0f75-44e8-9f38-fe3b5fee8d39,946.65,290.61,12.933333333333334
U078,Singapore,Certificate,HTTPS,SourceCode,7fe9bb9f-a4e0-4d1d-bc83-3ad99c116e40,902.49,259.55,13.237623762376238
U079,USA,Password,FTP,Finance,0e4473ee-c2b9-4a24-b737-d8628afb5f11,861.96,307.48,14.131578947368421
U080,USA,Password,HTTP,HR,f96d76b7-c4c4-4329-aa45-da514b37fa37,886.83,279.12,13.443396226415095
U081,Singapore,Token,SSH,CRM,48ec185b-dc9b-414d-bd9d-7fb1c47f35da,895.86,273.48,14.205607476635514
U082,USA,Biometric,SSH,Email,b607de9d-a76d-4308-a7d3-a4f08b4769f9,903.61,268.32,13.484848484848484
U083,Singapore,Biometric,FTP,Database,0ae4d1b1-19d4-4aff-beb4-5b2ba0359162,891.01,283.24,12.213483146067416
U084,Japan,Token,HTTP,Payroll,5a90339e-a47e-438e-8c06-9f9713cbdd88,879.69,279.28,11.846153846153847
U085,USA,Biometric,SSH,Finance,8001c932-abd6-4e39-b626-44e369e56c33,910.16,319.27,12.79245283018868
U086,USA,Password,FTP,SourceCode,34faf85e-04b6-4fe2-861b-7f90681de3b3,904.18,337.55,14.326923076923077
U087,India,Certificate,HTTPS,CloudServer,4c2a641b-efd4-4454-a76b-576402b4cdf0,884.42,276.93,13.944444444444445
U088,USA,Token,FTP,Payroll,1ccfaf76-429e-452c-9e45-06d10f98bf04,916.69,268.78,14.333333333333334
U089,Japan,Biometric,HTTP,SourceCode,99e04967-34a0-45dd-b877-f253b3894edb,893.73,280.6,12.508928571428571
U090,Japan,Token,FTP,SourceCode,958a8edc-1475-475b-9e72-38285f43cc50,900.53,273.27,11.80232558139535
U091,Japan,Password,HTTPS,CloudServer,12c96fe9-8f53-4911-89d1-ca22c1b2fe7c,921.37,261.82,12.9438202247191
U092,India,Password,HTTP,SourceCode,99f7d8e6-127b-4570-b916-3c2a9ba9f6b0,881.51,320.45,11.827272727272728
U093,India,Certificate,FTP,Email,daaede83-5070-42d1-9224-538145b0c181,920.52,273.11,12.553571428571429
U094,Singapore,Biometric,SSH,CloudServer,22295442-3cad-4eb9-887b-cf2d10347d79,937.16,273.38,12.90625
U095,Singapore,Certificate,SSH,Email,717dbed2-0aa5-4a48-8d18-6f159ea448ed,870.02,323.03,13.902173913043478
U096,Japan,Token,HTTP,Database,6c2445f4-17e0-40f7-810c-e7f49c9e862e,900.59,312.31,12.84375
U097,Singapore,Token,SSH,Finance,d890f1d6-e9e4-4d61-963e-5da594c767e1,880.48,291.84,11.911290322580646
U098,Japan,Password,SSH,CloudServer,8b8cb4eb-8d33-445b-96fc-cff81a4effe1,912.12,316.99,13.384615384615385
U099,USA,Token,SSH,Finance,c4498e01-de94-41a6-ae5a-9afea460b861,913.55,278.31,13.026548672566372
U100,USA,Certificate,HTTPS,Database,cb00ded9-5c7b-4683-939f-36a3ec381ea2,929.02,281.54,12.692307692307692
