entity_id,entity_type,home_country,preferred_auth,preferred_protocol,preferred_resource,device_fingerprint,work_start,work_end
U077,User,India,Token,FTP,Email,3669092d-8758-4159-a231-4f3ea1d5d59a,10,17
U078,User,Japan,Token,FTP,HR,991b80a4-1f49-4d9f-8341-84114dd02c47,8,17
U079,Service,India,Password,HTTPS,Database,317377cd-144e-4bee-b212-dd9bd969ed90,10,19
U080,Service,Singapore,Biometric,HTTPS,Finance,692da004-0727-44c5-be12-172bf9c45caa,10,17
U081,Device,USA,Certificate,SSH,Payroll,5f766fbf-ac29-4527-a596-45b9a167a8f4,9,18
U082,User,India,Token,HTTP,CRM,5c495bf9-ab9a-43fb-823d-4baed6a07894,8,20
U083,Device,India,Password,HTTPS,Email,152e003e-ea1a-4cd0-bede-0d65025ff591,9,18
U084,User,Japan,Password,SSH,CloudServer,9ca533d1-45f2-40db-a006-257f55861e9e,10,18
U085,Device,India,Password,FTP,Email,48ceb170-db20-429a-86c5-001372f3276a,10,20
U086,User,Singapore,Token,FTP,Finance,d89b7f5d-d441-4715-b583-dd8694d64a6c,10,19
U087,Device,Japan,Password,HTTPS,HR,0f473025-0c5c-4666-b222-5588935dbafd,8,19
U088,Service,USA,Token,SSH,CloudServer,a53c4f9e-b3c7-4db5-805c-224daf7a54e2,8,17
U089,Service,India,Certificate,HTTP,SourceCode,1ac4a72c-5b17-4c2f-9e28-48bbc05dca87,10,19
U090,User,Germany,Password,HTTPS,SourceCode,e03ca32d-1800-4d81-be77-e51e40e1f7a2,10,20
U091,Device,India,Biometric,SSH,CRM,e4246e2b-dafb-4a8e-b9d7-afa5cc8903a7,10,19
U092,Device,Singapore,Token,FTP,CRM,2be2f031-f956-46af-8b31-91290e4d161f,10,18
U093,User,Singapore,Certificate,HTTPS,SourceCode,ef3a8b38-4417-45e0-a8ba-cd3ccf0dc010,9,19
U094,Service,Singapore,Token,FTP,Finance,bd17c33b-b189-4a49-8fd2-8a18a8cf2ad2,10,20
U095,Device,India,Certificate,FTP,Email,df0ef64a-37ff-43e3-b0e4-4663ae3e72e7,8,19
U096,Service,Germany,Certificate,FTP,SourceCode,275530a0-d8ec-45c1-a835-accb3ca87fc7,9,17
U097,User,India,Password,HTTP,Finance,435e6422-c8ff-4bbe-958a-a1f3b4ab81fb,9,18
U098,Device,Germany,Token,FTP,CRM,499216a6-d836-43f4-9cff-83150522483c,10,19
U099,Device,Germany,Biometric,HTTPS,SourceCode,850c2da9-2bd7-43a5-996c-a32d0abf6b01,8,19
U100,Service,USA,Password,FTP,Payroll,3908e12a-4ef7-4115-b4b3-4e33708d2d24,10,18
